Case Number,Category,Program,Initiative,Organization,Type,Value,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Energy Efficiency,Energy Star-rated Products,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Energy Efficiency,Energy Star-rated Products,
AH1-ALG-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Algoma DSSAB,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Comply with Canadian Environmental Assessment Act,Yes,
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Energy Efficiency,Smart Meter (Bulk Metered),
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Comply with Canadian Environmental Assessment Act,Yes,
AH1-SUD-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Greater Sudbury,Energy Efficiency,Smart Meter (Bulk Metered),
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Comply with Canadian Environmental Assessment Act,Yes,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Energy Efficiency,Energy Star-rated Products,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Energy Efficiency,Smart Meter (Bulk Metered),
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Renewable Energy,Comments,
